,ALTRED COLLECTION DATE,COLLECTION DATE
3947,2015-06-02,06/02/15
3948,2015-06-02,06/02/15
3949,2015-06-02,06/02/15
3950,2015-06-02,06/02/15
3951,2015-06-02,06/02/15
3952,2015-06-02,06/02/15
3953,2015-06-02,06/02/15
3954,2015-06-02,06/02/15
3955,2008-01-02,01/02/2008
3956,2008-01-02,01/02/2008
3957,2008-01-02,01/02/2008
3958,2008-01-03,01/03/2008
3959,2008-01-03,01/03/2008
3960,2008-01-03,01/03/2008
3961,2008-03-01,2008-03-01
3962,2008-01-03,01/03/2008
3963,2008-01-03,01/03/2008
3964,2008-01-04,01/04/2008
3965,2008-01-04,01/04/2008
3966,2008-01-04,01/04/2008
3967,2008-01-04,01/04/2008
3968,2008-01-04,01/04/2008
3969,2008-01-04,01/04/2008
3970,2008-01-04,01/04/2008
3971,2008-01-05,01/05/2008
3972,2008-01-05,01/05/2008
3973,2008-01-05,01/05/2008
3974,2008-01-05,01/05/2008
3975,2008-01-05,01/05/2008
3976,2008-01-05,01/05/2008
